appID	name	developer	pending	genre	ratings	link
50	Temp	Beier-Mante	false	Action Mystery Thriller	1	4
51	Tresom	Ferry-Bednar	false	Comedy Crime	1	4
52	Fix San	Pagac LLC	true	Drama	10	8
53	Kanlam	Bradtke, Swaniawski and Jakubowski	true	Comedy Drama Sci-Fi	4	4
54	Holdlamis	Hoppe-Smith	true	Action Drama	7	6
55	Overhold	Fadel Group	false	Documentary Musical	10	1
56	Stringtough	Bergstrom LLC	false	Drama	4	9
57	Cookley	Moore, Cormier and Wisozk	true	Crime Mystery Thriller	3	3
58	Zaam-Dox	Vandervort, Kunze and Johnson	false	Documentary	6	8
59	Domainer	Schuster-Yost	true	Comedy	8	2
60	Tempsoft	Zieme-Jakubowski	false	Drama	5	9
61	Andalax	Weissnat, Abernathy and Abernathy	false	Comedy	3	3
62	Vagram	Tillman-Sanford	true	Documentary	4	10
63	Bamity	Gutkowski-Ebert	false	Comedy Drama	6	8
64	Viva	Abshire Inc	true	Animation Documentary	9	2
65	Viva	Zieme-Botsford	false	Drama	7	4
66	Zaam-Dox	O'Hara, Fritsch and Sipes	true	Horror	10	6
67	Lotstring	Welch-Tremblay	true	Documentary	2	9
68	Ronstring	Kutch-Anderson	false	Thriller	10	10
69	Quo Lux	Parker, Bruen and Hudson	true	Drama Film-Noir Mystery	5	10
70	Cookley	Ratke Inc	true	Comedy Romance	9	8
71	Konklab	Stracke, Dooley and Wisoky	false	Action Comedy Crime Romance	9	9
72	Y-find	Armstrong and Sons	true	Drama	6	9
73	Alphazap	Romaguera, Gerhold and Schinner	false	Comedy	6	5
74	Bitchip	Nienow, Luettgen and Cremin	false	Drama	8	10
75	Holdlamis	Rau-Schuppe	true	Action Thriller	7	7
76	Hatity	Parker-Beahan	true	Comedy Drama	1	9
77	Cardguard	Yost-Ernser	true	Documentary	6	6
78	Redhold	Klein Inc	true	Adventure Drama Film-Noir Thriller	5	3
79	Zamit	Glover, Pollich and McGlynn	false	Children Comedy	2	6
80	Flexidy	Hessel-Bayer	false	Drama	4	10
81	Bamity	Weissnat, Gislason and Murazik	false	Comedy Drama Romance	3	5
82	Konklux	Mraz-Witting	true	Comedy Documentary	4	3
83	Trippledex	Rutherford Inc	false	Drama Mystery Sci-Fi	8	2
84	Lotlux	Haag, Kuphal and Prosacco	false	Drama	10	8
85	Zoolab	Green-Barton	false	Horror	9	9
86	Cardify	Bahringer, Witting and Greenfelder	false	Drama	5	7
87	Holdlamis	Kovacek-Trantow	false	Horror	2	3
88	Zontrax	Wolff LLC	false	Action Mystery Thriller	9	1
89	Bitchip	Welch, Feest and Lynch	true	Action Comedy Romance	1	3
90	Duobam	Brakus-Murray	false	Action Crime Drama	1	8
91	Rank	Kozey-Kilback	true	Horror Thriller	4	3
92	Y-find	Mayer-Corkery	true	Romance Thriller	8	2
93	Viva	Thompson-Kozey	false	Comedy Sci-Fi	1	10
94	Konklux	Orn, Deckow and Steuber	true	Comedy Drama	2	8
95	Voltsillam	Bode Inc	true	Comedy Drama Romance	5	5
96	Sonsing	Nicolas LLC	true	Drama	4	3
97	Tampflex	Weber, Schultz and Fritsch	false	Drama Western	2	5
98	Konklux	Reichert LLC	false	Action Horror Thriller	8	7
99	Tres-Zap	Bartoletti, Bradtke and Brown	true	Horror	7	9
100	Span	Senger, Hessel and Leannon	false	Action Sci-Fi Thriller	6	7
